index,qtime_ms,wall_ms,numFound,error
0,575,1400,87121,
1,289,1215,20863,
2,435,1249,77563,
3,293,1215,42427,
4,290,401,63462,
5,286,401,21149,
6,231,350,42001,
7,593,718,58030,
8,656,765,57167,
9,295,406,42369,
10,512,644,52138,
11,633,741,28662,
12,507,622,51972,
13,242,354,63308,
14,597,715,57634,
15,252,382,20944,
16,237,359,42034,
17,447,568,77564,
18,564,672,28731,
19,235,345,20880,
20,656,764,57644,
21,295,404,63074,
22,244,352,42263,
23,669,841,28865,
24,458,607,77624,
25,639,747,28718,
26,616,725,86581,
27,223,340,62972,
28,447,557,51454,
29,492,599,77327,
30,642,756,57815,
31,290,399,42280,
32,638,746,28876,
33,289,397,63340,
34,609,725,58050,
35,294,409,62952,
36,427,542,25719,
37,235,342,63296,
38,591,754,86397,
39,485,617,25673,
40,615,727,57377,
41,295,406,41725,
42,681,792,86089,
43,698,808,57962,
44,664,772,86904,
45,499,608,25966,
46,278,396,21224,
47,720,834,57734,
48,267,375,63595,
49,496,614,51922,
50,518,626,77542,
51,749,860,86248,
52,665,773,86634,
53,455,562,25853,
54,267,400,21113,
55,442,561,51577,
56,632,746,57752,
57,296,404,63241,
58,453,566,25911,
59,222,344,63758,
60,255,369,42465,
61,636,813,57950,
62,299,418,63042,
63,440,548,77667,
64,461,583,25825,
65,451,560,25821,
66,257,368,42275,
67,426,548,25777,
68,631,741,28804,
69,296,407,41925,
70,561,676,28805,
71,457,584,51821,
72,292,419,42281,
73,390,504,26001,
74,453,563,25904,
75,289,417,42090,
76,610,731,86173,
77,657,767,57773,
78,295,408,42151,
79,550,659,28576,
80,690,803,28827,
81,680,789,28985,
82,242,365,20848,
83,263,370,63482,
84,212,332,20934,
85,605,739,57832,
86,270,405,42261,
87,672,780,86530,
88,272,383,63418,
89,289,402,42000,
90,621,824,57585,
91,266,378,21027,
92,617,726,86557,
93,414,525,51611,
94,713,821,86544,
95,493,601,25895,
96,590,700,86334,
97,285,393,42538,
98,422,545,51454,
99,287,402,21065,
100,240,353,62586,
101,631,749,57765,
102,472,580,51836,
103,532,648,28680,
104,292,401,42351,
105,268,377,42407,
106,249,366,21240,
107,261,369,21285,
108,242,373,21143,
109,431,539,51881,
110,429,539,51983,
111,296,413,42316,
112,454,576,25787,
113,264,437,63174,
114,267,399,63245,
115,633,742,86360,
116,446,556,51821,
117,451,560,51811,
118,265,374,21116,
119,260,375,21024,
120,238,356,63486,
121,642,751,87088,
122,451,593,77303,
123,290,417,62960,
124,439,554,25998,
125,290,399,41869,
126,448,571,78177,
127,612,720,57523,
128,307,416,42247,
129,682,790,57537,
130,625,732,28914,
131,247,359,62856,
132,458,575,78050,
133,286,401,20822,
134,433,540,77238,
135,273,383,63100,
136,295,418,62881,
137,274,390,42338,
138,635,790,86738,
139,665,774,86724,
140,291,401,42062,
141,293,402,21035,
142,654,766,57778,
143,596,705,57647,
144,630,739,28704,
145,294,403,63205,
146,284,409,42003,
147,632,740,28611,
148,261,376,42190,
149,431,552,52108,
150,640,748,86480,
151,286,394,21324,
152,239,348,63562,
153,672,779,86440,
154,445,567,51737,
155,615,727,29022,
156,424,531,26109,
157,603,710,57767,
158,287,401,42278,
159,236,352,41846,
160,658,784,28630,
161,238,366,41932,
162,504,612,51593,
163,604,721,28626,
164,630,738,28928,
165,294,405,41765,
166,241,354,41998,
167,628,738,86366,
168,250,358,63010,
169,659,767,86262,
170,656,766,28933,
171,657,765,86491,
172,458,565,51532,
173,466,573,51732,
174,244,357,62940,
175,240,348,42310,
176,223,330,63155,
177,273,380,63101,
178,265,378,20911,
179,466,600,25898,
180,653,760,85891,
181,447,558,77263,
182,479,587,77546,
183,614,726,57756,
184,607,716,86443,
185,293,401,63096,
186,711,819,86477,
187,647,757,28779,
188,665,773,28801,
189,521,636,26076,
190,279,414,42113,
191,653,763,86372,
192,435,543,77563,
193,474,584,25967,
