index,qtime_ms,wall_ms,numFound,error
0,4252,5073,87121,
1,2435,3255,20863,
2,3460,4276,77563,
3,2433,3255,42427,
4,2401,2516,63462,
5,2273,2389,21149,
6,2211,2354,42001,
7,4334,4526,58030,
8,4083,4194,57167,
9,2387,2498,42369,
10,3444,3558,52138,
11,4311,4422,28662,
12,3225,3334,51972,
13,2435,2544,63308,
14,4152,4261,57634,
15,2278,2393,20944,
16,2523,2640,42034,
17,3241,3350,77564,
18,4322,4432,28731,
19,2291,2399,20880,
20,4100,4211,57644,
21,2417,2529,63074,
22,2307,2415,42263,
23,4321,4478,28865,
24,3545,3658,77624,
25,4128,4239,28718,
26,4232,4341,86581,
27,2437,2560,62972,
28,3553,3662,51454,
29,3295,3406,77327,
30,4272,4382,57815,
31,2544,2727,42280,
32,4056,4253,28876,
33,2358,2466,63340,
34,4036,4145,58050,
35,2433,2543,62952,
36,3351,3475,25719,
37,2384,2492,63296,
38,4334,4443,86397,
39,3422,3547,25673,
40,4358,4467,57377,
41,2260,2371,41725,
42,4328,4437,86089,
43,4319,4428,57962,
44,4202,4312,86904,
45,3265,3441,25966,
46,2413,2528,21224,
47,4228,4351,57734,
48,2313,2427,63595,
49,3341,3479,51922,
50,3221,3329,77542,
51,4108,4218,86248,
52,4176,4285,86634,
53,3419,3539,25853,
54,2223,2345,21113,
55,3211,3321,51577,
56,4012,4120,57752,
57,2410,2519,63241,
58,3240,3349,25911,
59,2423,2533,63758,
60,2363,2553,42465,
61,4097,4205,57950,
62,2466,2586,63042,
63,3590,3700,77667,
64,3344,3459,25825,
65,3247,3360,25821,
66,2400,2628,42275,
67,3594,3703,25777,
68,4242,4352,28804,
69,2292,2401,41925,
70,4236,4346,28805,
71,3252,3363,51821,
72,2442,2556,42281,
73,3236,3471,26001,
74,3176,3351,25904,
75,2320,2440,42090,
76,4426,4535,86173,
77,4296,4476,57773,
78,2483,2595,42151,
79,4432,4540,28576,
80,4130,4240,28827,
81,4298,4441,28985,
82,2436,2543,20848,
83,2602,2713,63482,
84,2530,2643,20934,
85,4156,4264,57832,
86,2524,2662,42261,
87,3969,4077,86530,
88,2495,2697,63418,
89,2420,2531,42000,
90,4221,4383,57585,
91,2359,2467,21027,
92,4291,4440,86557,
93,3136,3245,51611,
94,4158,4267,86544,
95,3626,3735,25895,
96,4077,4187,86334,
97,2497,2606,42538,
98,3463,3571,51454,
99,2459,2585,21065,
100,2456,2566,62586,
101,4505,4612,57765,
102,3196,3306,51836,
103,3806,3916,28680,
104,2604,3020,42351,
105,2411,2518,42407,
106,2262,2371,21240,
107,2510,2660,21285,
108,2182,2347,21143,
109,3500,3608,51881,
110,3143,3250,51983,
111,2475,2595,42316,
112,3197,3304,25787,
113,2418,2525,63174,
114,2459,2569,63245,
115,4340,4449,86360,
116,3546,3654,51821,
117,3173,3378,51811,
118,2241,2354,21116,
119,2365,2491,21024,
120,2253,2361,63486,
121,4279,4386,87088,
122,3267,3378,77303,
123,2123,2231,62960,
124,3110,3221,25998,
125,2464,2575,41869,
126,3567,3676,78177,
127,3910,4113,57523,
128,2464,2605,42247,
129,4108,4216,57537,
130,3873,4013,28914,
131,2375,2541,62856,
132,3212,3321,78050,
133,2232,2348,20822,
134,3399,3507,77238,
135,2372,2479,63100,
136,2420,2529,62881,
137,2317,2425,42338,
138,4259,4463,86738,
139,3814,4038,86724,
140,2392,2510,42062,
141,2373,2488,21035,
142,4271,4380,57778,
