round,index,qtime_ms,wall_ms,numFound,error
1,0,2812,3048,77656,
1,1,3608,3848,57667,
1,2,2774,3013,51887,
1,3,3644,3881,28596,
1,4,3636,3654,86296,
1,5,2895,2917,77562,
1,6,3606,3632,28639,
1,7,3691,3710,86536,
1,8,3607,3627,28815,
1,9,1977,2080,21169,
1,10,2788,2836,51901,
1,11,2851,2873,52147,
1,12,2789,2808,77705,
1,13,2856,2944,77933,
1,14,2818,2842,77471,
1,15,2838,2857,25739,
1,16,2803,2841,26064,
1,17,2792,2812,26000,
1,18,3137,3156,77742,
1,19,1955,1976,41976,
1,20,2740,2762,51590,
1,21,2987,3006,78018,
1,22,3029,3051,51862,
1,23,3575,3594,86398,
1,24,2961,3028,77631,
1,25,3644,3665,28803,
1,26,1953,1986,21011,
1,27,2781,2828,77534,
1,28,1990,2010,20896,
1,29,2035,2080,20913,
1,30,1963,1998,21198,
1,31,1940,1959,63032,
1,32,1935,1955,63432,
1,33,1991,2083,21063,
1,34,2781,2811,26097,
1,35,1938,1975,41822,
1,36,1976,2039,63196,
1,37,2787,2806,51655,
1,38,1916,1948,63291,
1,39,1964,2040,42172,
1,40,3582,3603,57784,
1,41,3660,3679,86460,
1,42,3452,3501,57648,
1,43,3612,3693,86405,
1,44,2001,2119,20970,
1,45,2737,2759,51414,
1,46,3513,3584,57507,
1,47,2702,2761,52180,
1,48,3494,3520,86593,
1,49,3529,3550,86550,
1,50,2754,2774,52027,
1,51,2791,2809,77526,
1,52,2793,2834,77714,
1,53,2747,2768,78100,
1,54,2749,2769,51967,
1,55,2765,2818,51680,
1,56,2729,2758,25890,
1,57,1937,1958,21153,
1,58,2816,2837,78081,
1,59,1978,2047,63039,
1,60,3620,3643,86158,
1,61,2781,2858,77509,
1,62,2797,2827,25817,
1,63,2808,2882,25854,
1,64,2722,2764,77687,
1,65,1947,1988,20974,
1,66,2729,2754,52128,
1,67,2795,2814,77549,
1,68,3558,3584,57751,
1,69,2745,2764,51634,
1,70,2777,2802,25809,
1,71,1998,2100,63356,
1,72,2786,2810,52049,
1,73,3464,3485,57432,
1,74,2723,2767,51856,
1,75,2724,2751,51692,
1,76,3688,3712,28871,
1,77,1880,1901,21331,
1,78,2661,2691,25788,
1,79,3068,3086,51954,
1,80,2005,2026,63199,
1,81,2012,2031,21275,
1,82,3463,3485,85614,
1,83,1998,2030,21085,
1,84,1947,2017,63116,
1,85,3525,3600,86663,
