round,index,qtime_ms,wall_ms,numFound,error
1,0,238,318,77656,
1,1,259,319,57667,
1,2,235,318,51887,
1,3,255,319,28596,
1,4,130,148,86296,
1,5,111,130,77562,
1,6,118,135,28639,
1,7,136,155,86536,
1,8,115,133,28815,
1,9,60,78,21169,
1,10,90,111,51901,
1,11,101,122,52147,
1,12,97,117,77705,
1,13,100,123,77933,
1,14,99,120,77471,
1,15,94,111,25739,
1,16,86,108,26064,
1,17,90,108,26000,
1,18,91,108,77742,
1,19,75,96,41976,
1,20,92,114,51590,
1,21,89,107,78018,
1,22,103,127,51862,
1,23,123,142,86398,
1,24,97,117,77631,
1,25,115,132,28803,
1,26,56,75,21011,
1,27,98,117,77534,
1,28,55,72,20896,
1,29,54,73,20913,
1,30,50,76,21198,
1,31,80,98,63032,
1,32,76,93,63432,
1,33,55,74,21063,
1,34,86,104,26097,
1,35,69,85,41822,
1,36,66,83,63196,
1,37,92,112,51655,
1,38,65,84,63291,
1,39,62,79,42172,
1,40,111,130,57784,
1,41,139,157,86460,
1,42,122,139,57648,
1,43,124,141,86405,
1,44,68,88,20970,
1,45,89,109,51414,
1,46,134,155,57507,
1,47,87,109,52180,
1,48,129,148,86593,
1,49,122,142,86550,
1,50,105,122,52027,
1,51,91,108,77526,
1,52,86,108,77714,
1,53,93,112,78100,
1,54,82,100,51967,
1,55,87,106,51680,
1,56,84,104,25890,
1,57,49,67,21153,
1,58,94,120,78081,
1,59,78,98,63039,
1,60,116,148,86158,
1,61,105,132,77509,
1,62,82,102,25817,
1,63,83,102,25854,
1,64,87,106,77687,
1,65,52,75,20974,
1,66,80,97,52128,
1,67,97,120,77549,
1,68,116,135,57751,
1,69,89,112,51634,
1,70,81,99,25809,
1,71,66,84,63356,
1,72,78,100,52049,
1,73,117,134,57432,
1,74,102,120,51856,
1,75,80,102,51692,
1,76,104,132,28871,
1,77,66,86,21331,
1,78,87,111,25788,
1,79,98,115,51954,
1,80,70,90,63199,
1,81,64,82,21275,
1,82,114,140,85614,
1,83,69,90,21085,
1,84,73,90,63116,
1,85,119,144,86663,
1,86,59,80,63276,
1,87,54,73,21000,
1,88,85,110,52198,
1,89,79,100,25708,
1,90,61,79,63085,
1,91,79,102,25830,
1,92,65,87,63370,
1,93,112,130,58077,
1,94,117,136,57675,
1,95,90,110,25961,
1,96,66,84,63689,
1,97,67,87,42113,
1,98,65,82,20974,
1,99,56,73,25756,
2,0,487,525,42373,
2,1,453,491,77931,
2,2,475,512,21144,
2,3,502,540,57556,
2,4,129,152,28590,
2,5,104,123,78011,
2,6,104,121,42098,
2,7,106,125,63472,
2,8,142,159,77619,
2,9,135,152,86706,
2,10,115,134,28825,
2,11,105,132,21083,
2,12,79,99,51616,
2,13,91,109,78142,
2,14,88,107,25932,
2,15,79,101,63179,
2,16,115,138,57669,
2,17,68,89,42378,
2,18,149,165,57798,
2,19,127,148,51840,
2,20,83,102,26208,
2,21,116,135,28636,
2,22,72,89,63460,
2,23,52,73,42036,
2,24,58,76,63487,
2,25,88,107,77694,
2,26,70,87,63338,
2,27,58,75,42013,
2,28,68,85,63012,
2,29,113,130,28585,
2,30,58,81,21092,
2,31,76,94,51748,
2,32,83,103,63370,
2,33,107,124,86493,
2,34,89,108,51571,
2,35,79,101,25653,
2,36,65,83,62878,
2,37,57,79,63217,
2,38,104,121,28778,
2,39,92,112,51929,
2,40,70,90,25813,
2,41,95,112,58002,
2,42,70,87,62803,
2,43,62,79,63461,
2,44,71,89,25749,
2,45,62,86,21331,
2,46,94,126,28885,
2,47,58,95,41894,
2,48,72,104,63110,
2,49,80,97,86478,
2,50,99,117,86471,
2,51,92,114,29023,
2,52,72,98,62823,
2,53,116,136,87109,
2,54,103,123,57708,
2,55,53,71,41917,
2,56,57,74,63172,
2,57,89,113,57761,
2,58,65,88,21276,
2,59,99,133,29157,
2,60,60,81,20936,
2,61,108,131,86718,
2,62,59,78,41954,
2,63,57,82,63572,
2,64,102,122,58047,
2,65,100,124,86335,
2,66,80,102,25745,
2,67,92,112,28892,
2,68,121,138,86652,
2,69,92,109,57499,
2,70,71,94,41838,
2,71,72,89,25792,
2,72,104,125,57949,
2,73,70,90,63261,
2,74,78,97,51787,
2,75,80,97,51759,
2,76,103,121,86512,
2,77,79,97,52053,
2,78,103,120,57829,
2,79,82,102,77410,
2,80,67,85,42026,
2,81,61,80,63366,
2,82,113,133,86244,
2,83,53,76,21077,
2,84,103,124,86538,
