round,index,qtime_ms,wall_ms,numFound,error
1,0,1917,1935,77655,
1,1,2020,2045,57664,
1,2,1880,1932,51891,
1,3,2000,2020,28595,
1,4,1393,1412,86290,
1,5,1003,1052,77554,
1,6,1393,1413,28638,
1,7,1339,1363,86538,
1,8,1096,1167,28817,
1,9,769,810,21170,
1,10,1051,1084,51900,
1,11,946,1059,52151,
1,12,912,930,77705,
1,13,970,990,77936,
1,14,953,1024,77470,
1,15,974,1024,25740,
1,16,913,931,26065,
1,17,886,904,25999,
1,18,923,1026,77733,
1,19,775,817,41979,
1,20,1061,1102,51591,
1,21,981,1068,78019,
1,22,940,973,51862,
1,23,1048,1123,86404,
1,24,986,1008,77631,
1,25,1051,1069,28805,
1,26,788,805,21009,
1,27,926,948,77535,
1,28,760,883,20894,
1,29,774,871,20914,
1,30,763,809,21197,
1,31,899,955,63028,
1,32,982,1002,63437,
1,33,958,978,21062,
1,34,1135,1154,26100,
1,35,786,859,41825,
1,36,781,799,63197,
1,37,1004,1024,51654,
1,38,692,716,63293,
1,39,728,818,42174,
1,40,1057,1088,57784,
1,41,993,1012,86458,
1,42,1066,1089,57647,
1,43,1049,1108,86403,
1,44,694,818,20971,
1,45,900,921,51412,
1,46,1136,1154,57505,
1,47,801,819,52180,
1,48,1085,1110,86592,
1,49,1176,1211,86552,
1,50,912,929,52031,
1,51,909,929,77523,
1,52,903,937,77720,
1,53,921,960,78096,
1,54,892,910,51971,
1,55,987,1045,51679,
1,56,884,922,25888,
1,57,762,785,21153,
1,58,917,941,78078,
1,59,708,726,63040,
1,60,1090,1125,86161,
1,61,917,1019,77507,
1,62,925,943,25817,
1,63,950,970,25853,
1,64,954,1025,77685,
1,65,759,777,20972,
1,66,929,947,52129,
1,67,901,921,77544,
1,68,1071,1089,57756,
1,69,971,997,51632,
1,70,951,977,25810,
1,71,799,818,63354,
1,72,942,1000,52045,
1,73,1183,1203,57431,
1,74,974,1050,51859,
1,75,1000,1023,51689,
1,76,1080,1097,28873,
1,77,788,807,21331,
1,78,914,936,25784,
1,79,929,948,51952,
1,80,736,767,63199,
1,81,770,804,21277,
1,82,1072,1111,85615,
1,83,771,789,21084,
1,84,752,778,63117,
1,85,1027,1044,86667,
1,86,754,788,63270,
1,87,730,750,21002,
1,88,905,925,52200,
1,89,935,953,25706,
1,90,767,786,63087,
1,91,914,992,25829,
1,92,690,712,63370,
1,93,1130,1198,58076,
1,94,1125,1183,57677,
1,95,911,927,25959,
1,96,742,762,63692,
1,97,697,715,42112,
1,98,710,728,20974,
1,99,571,609,25754,
2,0,822,840,42373,
2,1,996,1059,77930,
2,2,822,839,21143,
2,3,1164,1237,57556,
2,4,1509,1555,28594,
2,5,1036,1060,78011,
2,6,746,816,42097,
2,7,1149,1170,63470,
2,8,1507,1527,77619,
2,9,1745,1764,86709,
2,10,1292,1310,28826,
2,11,1032,1052,21081,
2,12,979,997,51614,
2,13,989,1007,78142,
2,14,946,997,25930,
2,15,855,943,63180,
2,16,1143,1163,57667,
2,17,756,773,42380,
2,18,1088,1120,57800,
2,19,944,961,51840,
2,20,931,948,26208,
2,21,1067,1085,28637,
2,22,819,867,63461,
2,23,797,824,42041,
2,24,689,707,63487,
2,25,950,986,77699,
2,26,794,815,63344,
2,27,817,833,42014,
2,28,753,771,63012,
2,29,1149,1169,28584,
2,30,787,804,21095,
2,31,954,971,51750,
2,32,759,776,63368,
2,33,1142,1161,86487,
2,34,992,1012,51568,
2,35,972,988,25653,
2,36,795,812,62877,
2,37,759,785,63216,
2,38,1069,1139,28777,
2,39,1022,1138,51932,
2,40,1006,1123,25814,
2,41,1016,1039,58000,
2,42,766,806,62802,
2,43,869,908,63459,
2,44,975,1012,25749,
2,45,747,769,21332,
2,46,1106,1130,28882,
2,47,758,791,41897,
2,48,802,831,63113,
2,49,1018,1035,86474,
2,50,1177,1196,86468,
2,51,1114,1132,29021,
2,52,831,848,62825,
2,53,1093,1144,87103,
2,54,1098,1116,57707,
2,55,792,810,41919,
2,56,740,757,63170,
2,57,1182,1205,57759,
2,58,805,826,21275,
2,59,1145,1164,29159,
2,60,810,829,20936,
2,61,1086,1103,86720,
2,62,806,902,41959,
2,63,799,842,63573,
2,64,1054,1141,58047,
2,65,1139,1156,86334,
2,66,979,1021,25743,
2,67,1037,1054,28892,
2,68,1094,1111,86652,
2,69,1128,1150,57501,
2,70,779,796,41841,
2,71,917,993,25790,
2,72,1048,1067,57942,
2,73,748,765,63259,
2,74,908,946,51789,
2,75,934,953,51759,
2,76,1075,1102,86518,
2,77,934,952,52055,
2,78,1320,1383,57827,
2,79,942,958,77407,
2,80,952,976,42028,
2,81,882,899,63371,
2,82,1194,1239,86251,
2,83,787,845,21080,
2,84,1158,1175,86538,
2,85,1071,1092,86800,
2,86,1095,1113,86132,
2,87,1191,1208,86365,
2,88,954,973,26005,
2,89,945,962,51735,
2,90,919,936,77717,
2,91,1118,1144,28862,
2,92,807,826,63445,
2,93,1122,1200,86723,
2,94,910,1021,77621,
2,95,1135,1152,86639,
2,96,716,741,63322,
2,97,1124,1141,86047,
2,98,716,735,20971,
2,99,726,745,57537,
3,0,1377,1394,86195,
3,1,1335,1354,57739,
3,2,1459,1476,57626,
3,3,1339,1356,28895,
3,4,1071,1088,25853,
3,5,1012,1029,77658,
3,6,1032,1051,25955,
3,7,891,909,63288,
3,8,781,814,63285,
3,9,1184,1204,86550,
3,10,947,964,77513,
3,11,1081,1101,77582,
3,12,759,814,63012,
3,13,911,928,26114,
3,14,1181,1199,86297,
3,15,1200,1220,57618,
3,16,909,928,26012,
3,17,1089,1117,86706,
3,18,785,804,21090,
3,19,841,857,41953,
3,20,1094,1118,58066,
3,21,766,814,21359,
3,22,989,1008,51768,
3,23,809,826,63192,
3,24,1077,1094,51784,
3,25,1056,1128,25783,
3,26,796,901,42209,
3,27,1099,1140,86722,
3,28,665,682,41938,
3,29,752,818,42021,
3,30,1081,1101,86741,
3,31,758,775,42424,
3,32,1075,1103,86401,
3,33,750,771,42203,
3,34,918,970,25925,
3,35,762,840,41917,
3,36,952,974,52254,
3,37,700,719,41997,
3,38,952,1027,51659,
3,39,835,919,63291,
3,40,889,908,25759,
3,41,726,744,42036,
3,42,805,822,41748,
3,43,1061,1125,86166,
3,44,1154,1184,86610,
3,45,1145,1164,85997,
3,46,1110,1127,57507,
3,47,846,863,63081,
3,48,1151,1178,86349,
3,49,997,1014,26014,
3,50,1241,1258,57715,
3,51,848,866,42263,
3,52,1113,1130,57340,
3,53,770,788,42436,
3,54,804,828,42232,
3,55,772,886,21376,
3,56,909,990,77620,
3,57,780,797,42262,
3,58,891,913,52027,
3,59,1091,1108,86348,
3,60,941,1002,77690,
3,61,1168,1185,28931,
3,62,1091,1122,57867,
3,63,942,1040,51879,
3,64,1102,1162,29043,
3,65,720,747,21106,
3,66,1084,1102,28856,
3,67,990,1009,51931,
3,68,984,1001,51685,
3,69,852,869,20874,
3,70,761,857,42334,
3,71,957,973,51503,
3,72,1155,1172,57592,
3,73,930,947,25983,
3,74,783,801,63177,
3,75,745,782,63148,
3,76,1122,1148,57960,
3,77,807,837,42168,
3,78,933,1009,25853,
3,79,894,911,77304,
3,80,942,958,77477,
3,81,784,803,21000,
3,82,969,986,26056,
3,83,760,780,20982,
3,84,1165,1181,57588,
3,85,1148,1165,51874,
3,86,762,856,63361,
3,87,871,889,77268,
3,88,779,819,21166,
3,89,780,816,21178,
3,90,946,963,25694,
3,91,789,807,63663,
3,92,1066,1089,25758,
3,93,968,986,62797,
3,94,1249,1271,28777,
3,95,1048,1065,52088,
3,96,1075,1092,86500,
3,97,732,755,21039,
3,98,980,998,28945,
3,99,616,633,21153,
4,0,923,940,57555,
4,1,779,849,20971,
4,2,1017,1034,86728,
4,3,862,881,51714,
4,4,867,885,57330,
4,5,648,665,20926,
4,6,788,809,51612,
4,7,866,883,51939,
4,8,884,950,28703,
4,9,761,777,52089,
4,10,676,747,41686,
4,11,1094,1186,86746,
4,12,649,667,63071,
4,13,814,917,26195,
4,14,842,907,57777,
4,15,431,449,21224,
4,16,480,497,63007,
4,17,491,510,21011,
4,18,610,626,25812,
4,19,749,781,86236,
4,20,611,628,78069,
4,21,654,719,25779,
4,22,590,607,77576,
4,23,515,535,63226,
4,24,643,660,52223,
4,25,502,519,21218,
